pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,height_m,weight_kg,is_legendary,moves,description
12,Butterfree,bug,flying,60,45,50,90,80,70,1,1.1,32.0,0,Twister;U-turn;Confusion;Bug Buzz;Take Down;Secret Power;Struggle Bug;Venoshock;Solar Beam;Ominous Wind;Giga Drain;Mega Drain;Gust;Psybeam;Round;Silver Wind;Air Slash;Signal Beam;Electroweb;Rage;Energy Ball;Facade;Hyper Beam;Thief;Double-Edge;Bug Bite;Dream Eater;Psychic;Hidden Power;Infestation;Air Cutter;Shadow Ball;Snore;Giga Impact;Acrobatics,In battle* it flaps its wings at high speed to release highly toxic dust into the air.
13,Weedle,bug,poison,40,35,30,20,20,50,1,0.3,3.2,0,Bug Bite;Poison Sting;Electroweb,Often found in forests* eating leaves. It has a sharp venomous stinger on its head.
14,Kakuna,bug,poison,45,25,50,25,25,35,1,0.6,10.0,0,Bug Bite;Electroweb;Poison Sting,Almost incapable of moving* this POKéMON can only harden its shell to protect itself from predators.
15,Beedrill,bug,poison,65,150,40,15,80,145,1,1.0,29.5,0,U-turn;Take Down;Secret Power;Struggle Bug;Venoshock;Solar Beam;Ominous Wind;Rock Smash;Sludge Bomb;Giga Drain;Twineedle;Mega Drain;Fell Stinger;Skull Bash;Round;Assurance;Brick Break;Poison Jab;Pursuit;False Swipe;Silver Wind;Drill Run;Electroweb;X-Scissor;Knock Off;Rage;Payback;Poison Sting;Fury Attack;Cut;Facade;Hyper Beam;Thief;Double-Edge;Bug Bite;Hidden Power;Brutal Swing;Fury Cutter;Infestation;Air Cutter;Snore;Giga Impact;Acrobatics,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16,Pidgey,normal,flying,40,45,40,35,35,56,1,0.3,1.8,0,Gust;Thief;Round;Hurricane;Double-Edge;Quick Attack;Rage;Twister;Steel Wing;Wing Attack;Mud-Slap;U-turn;Heat Wave;Take Down;Fly;Hidden Power;Pursuit;Brave Bird;Secret Power;Air Cutter;Air Slash;Ominous Wind;Sky Attack;Facade;Snore;Uproar;Pluck,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,Pidgeotto,normal,flying,63,60,55,50,50,71,1,1.1,30.0,0,Gust;Thief;Round;Hurricane;Double-Edge;Quick Attack;Rage;Twister;Steel Wing;Wing Attack;Mud-Slap;U-turn;Heat Wave;Take Down;Fly;Hidden Power;Pursuit;Brave Bird;Secret Power;Air Cutter;Air Slash;Ominous Wind;Sky Attack;Facade;Snore;Uproar;Pluck,Very protective of its sprawling territorial area* this POKéMON will fiercely peck at any intruder.
18,Pidgeot,normal,flying,83,80,80,135,80,121,1,1.5,39.5,0,Gust;Thief;Round;Hurricane;Double-Edge;Quick Attack;Rage;Twister;Steel Wing;Wing Attack;Mud-Slap;U-turn;Heat Wave;Take Down;Fly;Hidden Power;Pursuit;Brave Bird;Secret Power;Air Cutter;Air Slash;Ominous Wind;Sky Attack;Facade;Hyper Beam;Snore;Uproar;Pluck;Giga Impact,When hunting* it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.
19,Rattata,normal,dark,30,56,35,25,35,72,1,,,0,Body Slam;Covet;Zen Headbutt;Dig;U-turn;Thunderbolt;Take Down;Fury Swipes;Secret Power;Rock Smash;Thunder;Skull Bash;Round;Assurance;Headbutt;Mud-Slap;Iron Tail;Pursuit;Bite;Ice Beam;Flame Wheel;Hyper Fang;Wild Charge;Pluck;Rage;Crunch;Retaliate;Cut;Water Gun;Last Resort;Facade;Thief;Revenge;Double-Edge;Quick Attack;Charge Beam;Icy Wind;Hidden Power;Bubble Beam;Sucker Punch;Shadow Ball;Snore;Uproar,Bites anything when it attacks. Small and very quick* it is a common sight in many places.
20,Raticate,normal,dark,75,71,70,40,80,77,1,,,0,Body Slam;Covet;Zen Headbutt;Dig;U-turn;Thunderbolt;Take Down;Fury Swipes;Secret Power;Rock Smash;Sludge Bomb;Thunder;Skull Bash;Round;Assurance;Headbutt;Mud-Slap;Shadow Claw;Iron Tail;Pursuit;Bite;Ice Beam;Dark Pulse;Flame Wheel;Hyper Fang;Wild Charge;Pluck;Rage;Crunch;Retaliate;Cut;Water Gun;Last Resort;Facade;Hyper Beam;Snarl;Strength;Thief;Revenge;Double-Edge;Quick Attack;Charge Beam;Icy Wind;Hidden Power;Bubble Beam;Sucker Punch;Shadow Ball;Snore;Uproar;Giga Impact,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
21,Spearow,normal,flying,40,60,30,31,31,70,1,0.3,2.0,0,Peck;Thief;Round;Assurance;Double-Edge;Quick Attack;Rage;Twister;Steel Wing;Mud-Slap;U-turn;Heat Wave;Take Down;Fury Attack;Pursuit;False Swipe;Hidden Power;Secret Power;Astonish;Air Cutter;Drill Run;Ominous Wind;Fly;Echoed Voice;Drill Peck;Sky Attack;Tri Attack;Facade;Snore;Uproar;Pluck,It flaps its small wings busily to fly. Using its beak* it searches in grass for prey.
22,Fearow,normal,flying,65,90,65,61,61,100,1,1.2,38.0,0,Peck;Thief;Round;Assurance;Double-Edge;Quick Attack;Rage;Twister;Steel Wing;Mud-Slap;U-turn;Heat Wave;Take Down;Fury Attack;Pursuit;False Swipe;Hidden Power;Secret Power;Astonish;Air Cutter;Drill Run;Ominous Wind;Fly;Echoed Voice;Drill Peck;Sky Attack;Tri Attack;Hyper Beam;Snore;Facade;Uproar;Pluck;Giga Impact,With its huge and magnificent wings* it can keep aloft without ever having to land for rest.
23,Ekans,poison,,35,60,44,40,54,55,1,2.0,6.9,0,Body Slam;Dig;Take Down;Secret Power;Bulldoze;Venoshock;Belch;Sludge Wave;Sludge Bomb;Giga Drain;Mega Drain;Skull Bash;Round;Headbutt;Rock Slide;Slam;Poison Jab;Iron Tail;Earthquake;Seed Bomb;Pursuit;Poison Fang;Mud Bomb;Bite;Dark Pulse;Poison Tail;Acid;Rage;Crunch;Payback;Poison Sting;Facade;Aqua Tail;Strength;Thief;Double-Edge;Hidden Power;Brutal Swing;Infestation;Acid Spray;Sucker Punch;Snore,Moves silently and stealthily. Eats the eggs of birds* such as PIDGEY and SPEAROW* whole.
24,Arbok,poison,,60,95,69,65,79,80,1,3.5,65.0,0,Body Slam;Thunder Fang;Dig;Take Down;Secret Power;Bulldoze;Venoshock;Belch;Sludge Wave;Sludge Bomb;Giga Drain;Mega Drain;Skull Bash;Round;Headbutt;Rock Slide;Slam;Poison Jab;Iron Tail;Earthquake;Seed Bomb;Pursuit;Poison Fang;Mud Bomb;Bite;Dark Pulse;Poison Tail;Acid;Fire Fang;Rage;Crunch;Payback;Poison Sting;Facade;Hyper Beam;Aqua Tail;Strength;Thief;Double-Edge;Hidden Power;Brutal Swing;Infestation;Acid Spray;Sucker Punch;Dragon Tail;Snore;Ice Fang;Giga Impact,It is rumored that the ferocious warning markings on its belly differ from area to area.
25,Pikachu,electric,,35,55,40,50,50,90,1,0.4,6.0,0,Fake Out;Thunder Shock;Body Slam;Covet;Focus Punch;Dig;Feint;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Discharge;Rock Smash;Mega Kick;Thunder;Double Slap;Skull Bash;Round;Volt Switch;Brick Break;Headbutt;Mud-Slap;Slam;Iron Tail;Thunder Punch;Volt Tackle;Signal Beam;Echoed Voice;Electroweb;Wild Charge;Knock Off;Rage;Surf;Pay Day;Zap Cannon;Submission;Spark;Facade;Rollout;Strength;Double-Edge;Quick Attack;Charge Beam;Mega Punch;Hidden Power;Nuzzle;Snore;Uproar,When several of these POKéMON gather* their electricity could build and cause lightning storms.
26,Raichu,electric,,60,85,50,95,85,110,1,,,0,Fake Out;Thunder Shock;Body Slam;Covet;Focus Punch;Dig;Feint;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Discharge;Rock Smash;Mega Kick;Focus Blast;Thunder;Double Slap;Skull Bash;Round;Volt Switch;Brick Break;Headbutt;Mud-Slap;Slam;Iron Tail;Draining Kiss;Thunder Punch;Volt Tackle;Signal Beam;Echoed Voice;Electroweb;Wild Charge;Knock Off;Rage;Surf;Pay Day;Zap Cannon;Submission;Spark;Facade;Hyper Beam;Rollout;Icicle Crash;Strength;Thief;Double-Edge;Quick Attack;Charge Beam;Mega Punch;Hidden Power;Flying Press;Nuzzle;Snore;Uproar;Giga Impact,Its long tail serves as a ground to protect itself from its own high-voltage power.
27,Sandshrew,ground,,50,75,90,10,35,40,1,,,0,Body Slam;Covet;Focus Punch;Dig;Dynamic Punch;Take Down;Fury Swipes;Secret Power;Bulldoze;Night Slash;Chip Away;Rock Smash;Crush Claw;Skull Bash;Round;Brick Break;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Scratch;Earthquake;Slash;Mud Shot;Rock Climb;X-Scissor;Knock Off;Rage;Rapid Spin;Poison Sting;Cut;Submission;Facade;Rollout;Strength;Thief;Double-Edge;Metal Claw;Hidden Power;Fury Cutter;Earth Power;Snore,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,Sandslash,ground,,75,100,120,25,65,65,1,,,0,Body Slam;Covet;Focus Punch;Dig;Dynamic Punch;Take Down;Fury Swipes;Secret Power;Bulldoze;Night Slash;Chip Away;Rock Smash;Crush Claw;Focus Blast;Skull Bash;Iron Head;Round;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Scratch;Earthquake;Slash;Ice Ball;Mud Shot;Rock Climb;X-Scissor;Frost Breath;Knock Off;Rage;Rapid Spin;Poison Sting;Leech Life;Cut;Submission;Facade;Powder Snow;Hyper Beam;Rollout;Strength;Thief;Double-Edge;Metal Claw;Hidden Power;Fury Cutter;Earth Power;Snore;Giga Impact,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,Nidoran-F,poison,,55,47,52,40,40,41,1,0.4,7.0,0,Body Slam;Dig;Thunderbolt;Take Down;Fury Swipes;Secret Power;Chip Away;Venoshock;Rock Smash;Sludge Bomb;Thunder;Skull Bash;Round;Headbutt;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Scratch;Pursuit;Poison Fang;Bite;Ice Beam;Echoed Voice;Poison Tail;Rage;Crunch;Poison Sting;Cut;Facade;Strength;Thief;Double-Edge;Water Pulse;Hidden Power;Snore;Double Kick,Although small* its venomous barbs render this POKéMON dangerous. The female has smaller horns.
30,Nidorina,poison,,70,62,67,55,55,56,1,0.8,20.0,0,Body Slam;Dig;Thunderbolt;Take Down;Fury Swipes;Secret Power;Chip Away;Venoshock;Rock Smash;Sludge Bomb;Thunder;Skull Bash;Round;Headbutt;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Scratch;Pursuit;Poison Fang;Bite;Ice Beam;Echoed Voice;Poison Tail;Rage;Crunch;Poison Sting;Cut;Water Gun;Facade;Strength;Thief;Double-Edge;Water Pulse;Hidden Power;Bubble Beam;Snore;Double Kick,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31,Nidoqueen,poison,ground,90,92,87,75,85,76,1,1.3,60.0,0,Body Slam;Fire Punch;Focus Punch;Dig;Dynamic Punch;Thunderbolt;Take Down;Superpower;Fury Swipes;Secret Power;Bulldoze;Chip Away;Venoshock;Outrage;Power-Up Punch;Ice Punch;Rock Smash;Mega Kick;Sludge Wave;Sludge Bomb;Focus Blast;Thunder;Skull Bash;Round;Avalanche;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Scratch;Earthquake;Pursuit;Poison Fang;Thunder Punch;Bite;Drill Run;Ice Beam;Fire Blast;Flamethrower;Echoed Voice;Smack Down;Rock Climb;Poison Tail;Rage;Crunch;Poison Sting;Cut;Water Gun;Surf;Pay Day;Submission;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Thief;Double-Edge;Incinerate;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Fury Cutter;Earth Power;Bubble Beam;Dragon Tail;Shadow Ball;Snore;Double Kick;Uproar;Giga Impact,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,Nidoran-M,poison,,46,57,40,40,40,50,1,0.5,9.0,0,Horn Attack;Body Slam;Dig;Thunderbolt;Confusion;Take Down;Secret Power;Chip Away;Venoshock;Rock Smash;Sludge Bomb;Thunder;Skull Bash;Round;Headbutt;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Drill Run;Ice Beam;Echoed Voice;Poison Tail;Peck;Rage;Poison Sting;Fury Attack;Cut;Facade;Strength;Thief;Double-Edge;Head Smash;Water Pulse;Hidden Power;Sucker Punch;Snore;Double Kick,Stiffens its ears to sense danger. The larger its horns* the more powerful its secreted venom.
33,Nidorino,poison,,61,72,57,55,55,65,1,0.9,19.5,0,Horn Attack;Body Slam;Dig;Thunderbolt;Confusion;Take Down;Secret Power;Chip Away;Venoshock;Rock Smash;Sludge Bomb;Thunder;Skull Bash;Round;Headbutt;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Drill Run;Ice Beam;Echoed Voice;Poison Tail;Peck;Rage;Poison Sting;Fury Attack;Cut;Water Gun;Facade;Strength;Thief;Double-Edge;Head Smash;Water Pulse;Hidden Power;Bubble Beam;Sucker Punch;Snore;Double Kick,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,Nidoking,poison,ground,81,102,77,85,75,85,1,1.4,62.0,0,Horn Attack;Body Slam;Fire Punch;Focus Punch;Dig;Dynamic Punch;Thunderbolt;Confusion;Take Down;Superpower;Secret Power;Bulldoze;Chip Away;Venoshock;Outrage;Power-Up Punch;Ice Punch;Rock Smash;Mega Kick;Sludge Wave;Sludge Bomb;Focus Blast;Thunder;Skull Bash;Round;Avalanche;Brick Break;Stone Edge;Headbutt;Rock Slide;Mud-Slap;Shadow Claw;Poison Jab;Iron Tail;Earthquake;Thunder Punch;Drill Run;Ice Beam;Fire Blast;Flamethrower;Echoed Voice;Smack Down;Rock Climb;Poison Tail;Peck;Rage;Poison Sting;Fury Attack;Cut;Water Gun;Surf;Thrash;Pay Day;Submission;Megahorn;Facade;Hyper Beam;Aqua Tail;Dragon Pulse;Strength;Thief;Double-Edge;Incinerate;Head Smash;Water Pulse;Mega Punch;Icy Wind;Hidden Power;Fury Cutter;Earth Power;Bubble Beam;Sucker Punch;Dragon Tail;Shadow Ball;Snore;Double Kick;Uproar;Giga Impact,It uses its powerful tail in battle to smash* constrict* then break the prey's bones.
35,Clefairy,fairy,,70,45,48,60,65,35,1,0.6,7.5,0,Hyper Voice;Body Slam;Fire Punch;Covet;Zen Headbutt;Focus Punch;Dig;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Stored Power;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Mega Kick;Thunder;Double Slap;Psyshock;Bounce;Skull Bash;Round;Brick Break;Headbutt;Mud-Slap;Dazzling Gleam;Iron Tail;Thunder Punch;Ice Beam;Signal Beam;Fire Blast;Flamethrower;Echoed Voice;Wake-Up Slap;Knock Off;Rage;Retaliate;Water Gun;Zap Cannon;Drain Punch;Submission;Last Resort;Facade;Rollout;Strength;Double-Edge;Charge Beam;Incinerate;Water Pulse;Pound;Dream Eater;Mega Punch;Moonblast;Psychic;Icy Wind;Hidden Power;Bubble Beam;Shadow Ball;Tri Attack;Snore;Uproar,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,Clefable,fairy,,95,70,73,95,90,60,1,1.3,40.0,0,Hyper Voice;Body Slam;Fire Punch;Covet;Zen Headbutt;Focus Punch;Dig;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Stored Power;Power-Up Punch;Solar Beam;Ice Punch;Rock Smash;Mega Kick;Focus Blast;Thunder;Double Slap;Psyshock;Bounce;Skull Bash;Round;Brick Break;Headbutt;Mud-Slap;Dazzling Gleam;Iron Tail;Thunder Punch;Ice Beam;Signal Beam;Fire Blast;Flamethrower;Echoed Voice;Wake-Up Slap;Knock Off;Rage;Retaliate;Water Gun;Zap Cannon;Drain Punch;Submission;Last Resort;Facade;Hyper Beam;Rollout;Strength;Double-Edge;Charge Beam;Incinerate;Water Pulse;Pound;Dream Eater;Mega Punch;Moonblast;Psychic;Icy Wind;Hidden Power;Bubble Beam;Shadow Ball;Tri Attack;Snore;Uproar;Giga Impact,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,Vulpix,fire,,38,41,40,50,65,65,1,,,0,Body Slam;Skull Bash;Round;Covet;Double-Edge;Quick Attack;Zen Headbutt;Rage;Headbutt;Incinerate;Extrasensory;Payback;Energy Ball;Tail Slap;Dig;Flame Burst;Iron Tail;Ember;Foul Play;Overheat;Heat Wave;Take Down;Hidden Power;Secret Power;Flame Charge;Flare Blitz;Hex;Fire Blast;Ominous Wind;Flamethrower;Dark Pulse;Inferno;Facade;Snore,At the time of birth* it has just one tail. The tail splits from its tip as it grows older.
38,Ninetales,fire,,73,67,75,81,100,109,1,,,0,Body Slam;Covet;Zen Headbutt;Dig;Flame Burst;Overheat;Take Down;Secret Power;Ice Shard;Solar Beam;Ominous Wind;Aurora Beam;Inferno;Psyshock;Skull Bash;Round;Headbutt;Extrasensory;Iron Tail;Flame Charge;Hex;Ice Beam;Fire Blast;Flamethrower;Dark Pulse;Frost Breath;Rage;Payback;Energy Ball;Heat Wave;Facade;Powder Snow;Hyper Beam;Double-Edge;Quick Attack;Incinerate;Tail Slap;Ember;Foul Play;Dream Eater;Icy Wind;Hidden Power;Flare Blitz;Snore;Giga Impact,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,Jigglypuff,normal,fairy,115,45,20,45,25,20,1,0.5,5.5,0,Hyper Voice;Body Slam;Fire Punch;Covet;Focus Punch;Dig;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Mega Kick;Thunder;Double Slap;Bounce;Round;Skull Bash;Brick Break;Headbutt;Mud-Slap;Dazzling Gleam;Thunder Punch;Ice Beam;Fire Blast;Flamethrower;Echoed Voice;Wild Charge;Wake-Up Slap;Knock Off;Rage;Retaliate;Water Gun;Zap Cannon;Drain Punch;Submission;Last Resort;Facade;Rollout;Strength;Double-Edge;Charge Beam;Incinerate;Water Pulse;Pound;Dream Eater;Mega Punch;Psychic;Icy Wind;Hidden Power;Bubble Beam;Shadow Ball;Tri Attack;Snore;Uproar,When its huge eyes light up* it sings a mysteriously soothing melody that lulls its enemies to sleep.
40,Wigglytuff,normal,fairy,140,70,45,85,50,45,1,1.0,12.0,0,Hyper Voice;Body Slam;Fire Punch;Covet;Focus Punch;Dig;Dynamic Punch;Thunderbolt;Take Down;Secret Power;Power-Up Punch;Solar Beam;Ice Punch;Mega Kick;Focus Blast;Thunder;Double Slap;Bounce;Round;Skull Bash;Brick Break;Headbutt;Mud-Slap;Dazzling Gleam;Thunder Punch;Ice Beam;Fire Blast;Flamethrower;Echoed Voice;Wild Charge;Play Rough;Wake-Up Slap;Knock Off;Rage;Retaliate;Water Gun;Zap Cannon;Drain Punch;Submission;Last Resort;Facade;Hyper Beam;Rollout;Strength;Double-Edge;Charge Beam;Incinerate;Water Pulse;Pound;Dream Eater;Mega Punch;Psychic;Icy Wind;Hidden Power;Bubble Beam;Shadow Ball;Tri Attack;Snore;Uproar;Giga Impact,The body is soft and rubbery. When angered* it will suck in air and inflate itself to an enormous size.
41,Zubat,poison,flying,40,45,35,30,40,55,1,0.8,7.5,0,Zen Headbutt;Twister;U-turn;Fly;Take Down;Secret Power;Venoshock;Ominous Wind;Sludge Bomb;Giga Drain;Mega Drain;Gust;Round;Steel Wing;Pursuit;Poison Fang;Bite;Air Slash;Absorb;Pluck;Rage;Payback;Leech Life;Heat Wave;Astonish;Facade;Thief;Double-Edge;Quick Attack;Wing Attack;Hidden Power;Brave Bird;Air Cutter;Shadow Ball;Snore;Uproar;Acrobatics,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
